date_id,T_name,T_irret,TF_name,TF_irret,FutYHret,X10_5
2016/8/25,T1612.CFE,0.0285,TF1612.CFE,0.026466667,20.33,18.55
2016/8/26,T1612.CFE,0.0281,TF1612.CFE,0.026066667,20.33,14.79
2016/8/29,T1612.CFE,0.0284,TF1612.CFE,0.026233333,21.67,16.58
2016/8/30,T1612.CFE,0.0289,TF1612.CFE,0.0267,22,17.66
2016/8/31,T1612.CFE,0.0288,TF1612.CFE,0.0266,22,18.78
2016/9/1,T1612.CFE,0.0287,TF1612.CFE,0.0265,22,17.54
2016/9/2,T1612.CFE,0.0288,TF1612.CFE,0.0266,22,18.15
2016/9/5,T1612.CFE,0.0288,TF1612.CFE,0.0266,22,17.57
2016/9/6,T1612.CFE,0.029,TF1612.CFE,0.0267,23,17.91
2016/9/7,T1612.CFE,0.0291,TF1612.CFE,0.0268,23,17.86
2016/9/8,T1612.CFE,0.028766667,TF1612.CFE,0.0265,22.67,19.77
2016/9/9,T1612.CFE,0.028466667,TF1612.CFE,0.026266667,22,19.76
2016/9/12,T1612.CFE,0.0289,TF1612.CFE,0.026666667,22.33,20.85
2016/9/13,T1612.CFE,0.0285,TF1612.CFE,0.0263,22,18.01
2016/9/14,T1612.CFE,0.0284,TF1612.CFE,0.0263,21,15.85
2016/9/19,T1612.CFE,0.0283,TF1612.CFE,0.026233333,20.67,17.34
2016/9/20,T1612.CFE,0.028233333,TF1612.CFE,0.026166667,20.67,17.79
2016/9/21,T1612.CFE,0.028266667,TF1612.CFE,0.0262,20.67,15.74
2016/9/22,T1612.CFE,0.0283,TF1612.CFE,0.026166667,21.33,17.43
2016/9/23,T1612.CFE,0.028133333,TF1612.CFE,0.026,21.33,16.56
2016/9/26,T1612.CFE,0.027933333,TF1612.CFE,0.025866667,20.67,15.93
2016/9/27,T1612.CFE,0.028,TF1612.CFE,0.025866667,21.33,15.84
2016/9/28,T1612.CFE,0.028,TF1612.CFE,0.0258,22,15.93
2016/9/29,T1612.CFE,0.028066667,TF1612.CFE,0.0258,22.67,15.85
2016/9/30,T1612.CFE,0.028,TF1612.CFE,0.025766667,22.33,15.76
2016/10/10,T1612.CFE,0.027466667,TF1612.CFE,0.0253,21.67,20.03
2016/10/11,T1612.CFE,0.0276,TF1612.CFE,0.0254,22,18.83
2016/10/12,T1612.CFE,0.027866667,TF1612.CFE,0.0256,22.67,14.54
2016/10/13,T1612.CFE,0.027666667,TF1612.CFE,0.025366667,23,18.64
2016/10/14,T1612.CFE,0.027533333,TF1612.CFE,0.0253,22.33,20.24
2016/10/17,T1612.CFE,0.0275,TF1612.CFE,0.025166667,23.33,21.78
2016/10/18,T1612.CFE,0.027566667,TF1612.CFE,0.025166667,24,21.7
2016/10/19,T1612.CFE,0.027233333,TF1612.CFE,0.024866667,23.67,23.34
2016/10/20,T1612.CFE,0.026866667,TF1612.CFE,0.024566667,23,21.83
2016/10/21,T1612.CFE,0.026766667,TF1612.CFE,0.024466667,23,21.46
2016/10/24,T1612.CFE,0.027233333,TF1612.CFE,0.0249,23.33,21.77
2016/10/25,T1612.CFE,0.0275,TF1612.CFE,0.0252,23,25.46
2016/10/26,T1612.CFE,0.027966667,TF1612.CFE,0.0257,22.67,23.65
2016/10/27,T1612.CFE,0.027466667,TF1612.CFE,0.025166667,23,26.68
2016/10/28,T1612.CFE,0.027433333,TF1612.CFE,0.0251,23.33,26.57
2016/10/31,T1612.CFE,0.027866667,TF1612.CFE,0.025566667,23,26.4
2016/11/1,T1612.CFE,0.027766667,TF1612.CFE,0.025433333,23.33,31.74
2016/11/2,T1612.CFE,0.027766667,TF1612.CFE,0.0253,24.67,28.8
2016/11/3,T1612.CFE,0.027466667,TF1612.CFE,0.025066667,24,27.8
2016/11/4,T1612.CFE,0.027433333,TF1612.CFE,0.025033333,24,27.3
2016/11/7,T1612.CFE,0.027833333,TF1612.CFE,0.025366667,24.67,28.29
2016/11/8,T1612.CFE,0.027966667,TF1612.CFE,0.0254,25.67,28.93
2016/11/9,T1612.CFE,0.027966667,TF1612.CFE,0.0255,24.67,26.84
2016/11/10,T1703.CFE,0.0298,TF1703.CFE,0.027233333,25.67,29.59
2016/11/11,T1703.CFE,0.030166667,TF1703.CFE,0.027633333,25.33,29.11
2016/11/14,T1703.CFE,0.0304,TF1703.CFE,0.027933333,24.67,25.96
2016/11/15,T1703.CFE,0.0303,TF1703.CFE,0.027933333,23.67,26.39
2016/11/16,T1703.CFE,0.0304,TF1703.CFE,0.0282,22,22.99
2016/11/17,T1703.CFE,0.030533333,TF1703.CFE,0.028533333,20,21.29
2016/11/18,T1703.CFE,0.0306,TF1703.CFE,0.028766667,18.33,22.84
2016/11/21,T1703.CFE,0.030533333,TF1703.CFE,0.028766667,17.67,21.89
2016/11/22,T1703.CFE,0.0306,TF1703.CFE,0.028866667,17.33,18.85
2016/11/23,T1703.CFE,0.0302,TF1703.CFE,0.0282,20,21.31
2016/11/24,T1703.CFE,0.030333333,TF1703.CFE,0.028233333,21,19.48
2016/11/25,T1703.CFE,0.0305,TF1703.CFE,0.028433333,20.67,19.99
2016/11/28,T1703.CFE,0.0304,TF1703.CFE,0.028333333,20.67,20.46
2016/11/29,T1703.CFE,0.0312,TF1703.CFE,0.029366667,18.33,20.33
2016/11/30,T1703.CFE,0.031433333,TF1703.CFE,0.0296,18.33,24.94
2016/12/1,T1703.CFE,0.0322,TF1703.CFE,0.0305,17,21.69
2016/12/2,T1703.CFE,0.032133333,TF1703.CFE,0.0306,15.33,22.47
2016/12/5,T1703.CFE,0.032333333,TF1703.CFE,0.0308,15.33,24.95
2016/12/6,T1703.CFE,0.032933333,TF1703.CFE,0.031433333,15,18.55
