date_id,T_name,T_irret,T_close,T_settle,TF_name,TF_irret,TF_close,TF_settle,FutYHret,quan90,quan80,quan70,quan60,quan50,quan40,quan30,quan20,quan10,position_T90,position_TF90,position_T80,position_TF80,position_T70,position_TF70,position_T60,position_TF60
2019/8/19,T1912.CFE,0.031366667,98.955,98.915,TF1912.CFE,0.0299,100.08,100.055,14.67,17.0,16.67,16.33,16.0,16.0,15.67,15.33,15.0,14.67,-1,2,-1,2,-1,2,-1,2
2019/8/20,T1912.CFE,0.031366667,98.86,98.895,TF1912.CFE,0.0299,100.01,100.04,14.67,17.0,16.67,16.33,16.0,16.0,15.67,15.33,15.0,14.67,-1,2,-1,2,-1,2,-1,2
2019/8/21,T1912.CFE,0.031666667,98.65,98.675,TF1912.CFE,0.0302,99.89,99.91,14.67,17.0,16.67,16.33,16.0,16.0,15.67,15.33,15.0,14.67,-1,2,-1,2,-1,2,-1,2
2019/8/22,T1912.CFE,0.0316,98.735,98.725,TF1912.CFE,0.0301,99.955,99.94,15.0,17.0,16.67,16.33,16.0,16.0,15.67,15.33,15.0,14.67,-1,2,-1,2,-1,2,-1,2
2019/8/23,T1912.CFE,0.0315,98.775,98.79,TF1912.CFE,0.03,99.97,99.99,15.0,17.0,16.67,16.33,16.0,16.0,15.67,15.33,15.0,14.67,-1,2,-1,2,-1,2,-1,2
2019/8/26,T1912.CFE,0.031333333,98.835,98.935,TF1912.CFE,0.029833332999999997,100.005,100.06,15.0,17.0,16.67,16.33,16.0,16.0,15.53,15.33,15.0,14.67,-1,2,-1,2,-1,2,-1,2
2019/8/27,T1912.CFE,0.0314,98.915,98.885,TF1912.CFE,0.03,100.04,100.015,14.0,17.0,16.67,16.33,16.0,16.0,15.33,15.33,15.0,14.64,-1,2,-1,2,-1,2,-1,2
2019/8/28,T1912.CFE,0.031366667,98.87,98.92,TF1912.CFE,0.0299,100.01,100.03,14.67,17.0,16.67,16.33,16.0,16.0,15.33,15.33,15.0,14.64,-1,2,-1,2,-1,2,-1,2
2019/8/29,T1912.CFE,0.030866667,99.235,99.28,TF1912.CFE,0.0295,100.175,100.205,13.67,17.0,16.67,16.33,16.0,16.0,15.33,15.33,14.93,14.33,-1,2,-1,2,-1,2,-1,2
2019/8/30,T1912.CFE,0.0313,98.935,98.965,TF1912.CFE,0.0299,100.0,100.02,14.0,17.0,16.67,16.33,16.0,16.0,15.33,15.33,14.93,14.33,-1,2,-1,2,-1,2,-1,2
2019/9/2,T1912.CFE,0.0315,98.775,98.795,TF1912.CFE,0.0301,99.925,99.945,14.0,17.0,16.67,16.33,16.0,16.0,15.33,15.33,14.93,14.33,-1,2,-1,2,-1,2,-1,2
2019/9/3,T1912.CFE,0.031566667,98.745,98.75,TF1912.CFE,0.030266667,99.885,99.895,13.0,17.0,16.67,16.33,16.0,16.0,15.33,15.33,14.93,14.33,-1,2,-1,2,-1,2,-1,2
