future_name,date_id,close,settle,sec_name
TF00.CFE,2013-04-12,nan,nan,
TF00.CFE,2013-04-15,nan,nan,
TF00.CFE,2013-04-16,nan,nan,
TF00.CFE,2013-04-17,nan,nan,
TF00.CFE,2013-04-18,nan,nan,
TF00.CFE,2013-04-19,nan,nan,
TF00.CFE,2013-04-22,nan,nan,
TF00.CFE,2013-04-23,nan,nan,
TF00.CFE,2013-04-24,nan,nan,
TF00.CFE,2013-04-25,nan,nan,
TF00.CFE,2013-04-26,nan,nan,
TF00.CFE,2013-05-02,nan,nan,
TF00.CFE,2013-05-03,nan,nan,
TF00.CFE,2013-05-06,nan,nan,
TF00.CFE,2013-05-07,nan,nan,
TF00.CFE,2013-05-08,nan,nan,
TF00.CFE,2013-05-09,nan,nan,
TF00.CFE,2013-05-10,nan,nan,
TF00.CFE,2013-05-13,nan,nan,
TF00.CFE,2013-05-14,nan,nan,
TF00.CFE,2013-05-15,nan,nan,
TF00.CFE,2013-05-16,nan,nan,
TF00.CFE,2013-05-17,nan,nan,
TF00.CFE,2013-05-20,nan,nan,
TF00.CFE,2013-05-21,nan,nan,
TF00.CFE,2013-05-22,nan,nan,
TF00.CFE,2013-05-23,nan,nan,
TF00.CFE,2013-05-24,nan,nan,
TF00.CFE,2013-05-27,nan,nan,
TF00.CFE,2013-05-28,nan,nan,
TF00.CFE,2013-05-29,nan,nan,
TF00.CFE,2013-05-30,nan,nan,
TF00.CFE,2013-05-31,nan,nan,
TF00.CFE,2013-06-03,nan,nan,
TF00.CFE,2013-06-04,nan,nan,
TF00.CFE,2013-06-05,nan,nan,
TF00.CFE,2013-06-06,nan,nan,
TF00.CFE,2013-06-07,nan,nan,
TF00.CFE,2013-06-13,nan,nan,
TF00.CFE,2013-06-14,nan,nan,
TF00.CFE,2013-06-17,nan,nan,
TF00.CFE,2013-06-18,nan,nan,
TF00.CFE,2013-06-19,nan,nan,
TF00.CFE,2013-06-20,nan,nan,
TF00.CFE,2013-06-21,nan,nan,
TF00.CFE,2013-06-24,nan,nan,
TF00.CFE,2013-06-25,nan,nan,
TF00.CFE,2013-06-26,nan,nan,
TF00.CFE,2013-06-27,nan,nan,
TF00.CFE,2013-06-28,nan,nan,
TF00.CFE,2013-07-01,nan,nan,
TF00.CFE,2013-07-02,nan,nan,
TF00.CFE,2013-07-03,nan,nan,
TF00.CFE,2013-07-04,nan,nan,
TF00.CFE,2013-07-05,nan,nan,
TF00.CFE,2013-07-08,nan,nan,
TF00.CFE,2013-07-09,nan,nan,
TF00.CFE,2013-07-10,nan,nan,
TF00.CFE,2013-07-11,nan,nan,
TF00.CFE,2013-07-12,nan,nan,
TF00.CFE,2013-07-15,nan,nan,
TF00.CFE,2013-07-16,nan,nan,
TF00.CFE,2013-07-17,nan,nan,
TF00.CFE,2013-07-18,nan,nan,
TF00.CFE,2013-07-19,nan,nan,
TF00.CFE,2013-07-22,nan,nan,
TF00.CFE,2013-07-23,nan,nan,
TF00.CFE,2013-07-24,nan,nan,
TF00.CFE,2013-07-25,nan,nan,
TF00.CFE,2013-07-26,nan,nan,
TF00.CFE,2013-07-29,nan,nan,
TF00.CFE,2013-07-30,nan,nan,
TF00.CFE,2013-07-31,nan,nan,
TF00.CFE,2013-08-01,nan,nan,
TF00.CFE,2013-08-02,nan,nan,
TF00.CFE,2013-08-05,nan,nan,
TF00.CFE,2013-08-06,nan,nan,
TF00.CFE,2013-08-07,nan,nan,
TF00.CFE,2013-08-08,nan,nan,
TF00.CFE,2013-08-09,nan,nan,
TF00.CFE,2013-08-12,nan,nan,
TF00.CFE,2013-08-13,nan,nan,
TF00.CFE,2013-08-14,nan,nan,
TF00.CFE,2013-08-15,nan,nan,
TF00.CFE,2013-08-16,nan,nan,
TF00.CFE,2013-08-19,nan,nan,
TF00.CFE,2013-08-20,nan,nan,
TF00.CFE,2013-08-21,nan,nan,
TF00.CFE,2013-08-22,nan,nan,
TF00.CFE,2013-08-23,nan,nan,
TF00.CFE,2013-08-26,nan,nan,
TF00.CFE,2013-08-27,nan,nan,
TF00.CFE,2013-08-28,nan,nan,
TF00.CFE,2013-08-29,nan,nan,
TF00.CFE,2013-08-30,nan,nan,
TF00.CFE,2013-09-02,nan,nan,
TF00.CFE,2013-09-03,nan,nan,
TF00.CFE,2013-09-04,nan,nan,
TF00.CFE,2013-09-05,nan,nan,
TF00.CFE,2013-09-06,94.17,94.192,TF1312.CFE
TF00.CFE,2013-09-09,93.906,93.916,TF1312.CFE
TF00.CFE,2013-09-10,93.842,93.846,TF1312.CFE
TF00.CFE,2013-09-11,93.598,93.556,TF1312.CFE
TF00.CFE,2013-09-12,93.728,93.752,TF1312.CFE
TF00.CFE,2013-09-13,93.764,93.768,TF1312.CFE
TF00.CFE,2013-09-16,93.854,93.86,TF1312.CFE
TF00.CFE,2013-09-17,94.234,94.244,TF1312.CFE
TF00.CFE,2013-09-18,94.206,94.218,TF1312.CFE
TF00.CFE,2013-09-23,94.35,94.36,TF1312.CFE
TF00.CFE,2013-09-24,94.34,94.33,TF1312.CFE
TF00.CFE,2013-09-25,94.42,94.43,TF1312.CFE
TF00.CFE,2013-09-26,94.572,94.572,TF1312.CFE
TF00.CFE,2013-09-27,94.346,94.362,TF1312.CFE
TF00.CFE,2013-09-30,94.462,94.444,TF1312.CFE
TF00.CFE,2013-10-08,94.412,94.422,TF1312.CFE
TF00.CFE,2013-10-09,94.362,94.346,TF1312.CFE
TF00.CFE,2013-10-10,94.35,94.33,TF1312.CFE
TF00.CFE,2013-10-11,94.29,94.294,TF1312.CFE
TF00.CFE,2013-10-14,94.118,94.084,TF1312.CFE
TF00.CFE,2013-10-15,93.948,93.942,TF1312.CFE
TF00.CFE,2013-10-16,94.012,94.0,TF1312.CFE
TF00.CFE,2013-10-17,93.926,93.93,TF1312.CFE
TF00.CFE,2013-10-18,93.886,93.87,TF1312.CFE
TF00.CFE,2013-10-21,93.858,93.866,TF1312.CFE
TF00.CFE,2013-10-22,93.772,93.756,TF1312.CFE
TF00.CFE,2013-10-23,93.812,93.806,TF1312.CFE
TF00.CFE,2013-10-24,93.6,93.606,TF1312.CFE
TF00.CFE,2013-10-25,93.688,93.63,TF1312.CFE
TF00.CFE,2013-10-28,93.67,93.67,TF1312.CFE
TF00.CFE,2013-10-29,93.504,93.538,TF1312.CFE
